CaseId,ActivityId,Text,Activity,SpecificActivity
5,1,"Subject: Re: Boat Hire Inquiry for Private Party on 18th November

Dear John Smith,

Thank you for reaching out to Boathire and congratulations on your company's 10th anniversary!

We are delighted to assist you with your upcoming celebration. Based on the details you’ve provided, we have the following recommendations for your private party hosting around 40 guests:

### The Aquaholic
- **Capacity:** Up to 60 people
- **Availability:** Currently available on Saturday, 18th November
- **Charter Timing:** 6:00 PM to 10:00 PM

#### Pricing:
- **Charter Only:** £850
- **Charter with Catering:**
  - **Basic Package:** £1,200
  - **Premium Package:** £1,500

Both catering packages include a selection of canapés, alcoholic and non-alcoholic beverages. The Premium Package offers an extended menu and a broader selection of beverages.

### Additional Information:
1. **Music and Entertainment:** We can provide a sound system and DJ service upon request.
2. **Decoration:** Custom decorations can be arranged to match your event theme.
3. **Onboard Staff:** All charters include our professional crew to ensure a smooth and enjoyable experience.

**Booking Process:**
To confirm your booking, please reply to this email or contact our office directly at [PHONE NUMBER]. A 30% deposit is required to secure the date, with the remaining balance due two weeks prior to the event.

Please let us know if you have any specific requests or need further customization for your event. We are here to make your celebration memorable and seamless.

Looking forward to hearing from you soon.

Best regards,

James
Boathire Team",Send Offer,Send Offer / Uncatered / Pier Pressure
5,2,"Subject: Re: Boat Hire Inquiry for Private Party on 18th November

Dear James,

Thank you for your prompt and detailed response.

After considering the options, we would like to proceed with booking ""The Aquaholic"" for our private party on Saturday, 18th November, from 6:00 PM to 10:00 PM. Could you please confirm the availability of this vessel and provide instructions for the deposit payment?

We are interested in the Premium Catering Package, and we would like to include the DJ service as well. Additionally, please let us know if any further information is needed from our side to finalize the booking.

Thank you for your assistance. We look forward to making this event a memorable one with Boathire.

Best regards,

John Smith",Receive Booking,Receive Booking / Pier Pressure
6,0,"Subject: Boat Hire Inquiry for Retirement Celebration

Dear Boathire Team,

I hope this email finds you well. My name is John Thatcher, and I am writing to inquire about hiring a boat for a special event I am planning. 

We are organising a retirement celebration and are interested in hosting it on one of your boats. The event is scheduled for Saturday, 25th November 2023, and we expect around 40 guests. Ideally, we would like to hire the boat from 6 PM to 10 PM to enjoy an evening on the water.

Could you please provide information on the availability, prices, and the types of boats you have suitable for this number of guests? Additionally, it would be helpful to know about any additional services or features that come with the boat hire.

Looking forward to your response.

Best regards,
John Thatcher
Email: john.thatcher@email.com
Phone: 07123 456789",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
6,1,"Subject: Re: Boat Hire Inquiry for Retirement Celebration

Dear John Thatcher,

Thank you for reaching out to Boathire with your inquiry. We are delighted to hear that you are considering one of our boats for your special retirement celebration event.

Based on the details you have provided, I would recommend ""The Aquaholic"" which can comfortably accommodate up to 60 guests, making it an ideal choice for your expected 40 guests. Below, I have outlined the information regarding availability, pricing, and additional services:

### Availability:
- **Date:** Saturday, 25th November 2023
- **Time:** 6 PM to 10 PM

We currently have availability on your preferred date and time for The Aquaholic.

### Pricing:
- **Charter Fee for The Aquaholic (4-hour duration):** £1,200
- **Additional Hour (if needed):** £300 per hour

### Additional Services:
- **Catering:** We offer an optional catering service that can include appetizers, main courses, desserts, and beverages. We can provide a custom menu based on your preferences.
  - **Standard Catering Package:** £25 per person
  - **Premium Catering Package:** £40 per person

- **Onboard Entertainment:** We can arrange for live music, a DJ, or a sound system for your event. Please let us know your preference, and we can provide pricing details accordingly.

- **Decoration:** We offer decoration services to suit the theme of your event (e.g., balloons, banners, flowers). Prices vary based on your specific requirements.

- **Professional Photography:** Capture the memorable moments of your retirement celebration with a professional photographer at an additional cost.

### Booking:
To secure your booking, please confirm your interest by replying to this email or by calling us at your earliest convenience. We will then proceed with the necessary arrangements and provide a detailed contract for your review.

Feel free to reach out if you have any specific requirements or questions. We look forward to making your retirement celebration a memorable and enjoyable experience.

Best regards,

James Rowland
Boathire Team
Email: info@boathire.com
Phone: 07123 987654",Send Offer,Send Offer / Uncatered / Pier Pressure
6,2,"Subject: Confirmation of Boat Hire Booking - The Pier Pressure

Dear James Rowland,

Thank you for your prompt and detailed response. I appreciate the information provided regarding The Aquaholic. However, after further consideration, we would prefer to book ""The Pier Pressure"" for our retirement celebration event.

Please confirm the availability of The Pier Pressure for the following details:

- **Date:** Saturday, 25th November 2023
- **Time:** 6 PM to 10 PM
- **Number of Guests:** Approximately 40

Additionally, we would like to inquire about the following services:
- **Standard Catering Package** for 40 guests
- **Onboard Entertainment** with a DJ

Kindly provide confirmation of the booking along with a detailed breakdown of the costs for the services mentioned above. If there is any further information or action required from my end, do let me know.

I look forward to your confirmation and the next steps.

Best regards,

John Thatcher
Email: john.thatcher@email.com
Phone: 07123 456789",Receive Booking,Receive Booking / Pier Pressure
7,0,"Subject: Boat Hire Enquiry for Birthday Party on 15th April

Dear Boathire Team,

I hope this email finds you well.

I am writing to enquire about hiring a boat for a birthday party I am planning. Here are the details of the event:

- Event: 40th Birthday Party
- Number of Guests: 45
- Date: 15th April
- Time: 7:00 PM to 11:00 PM

Could you please provide me with information on the boats available for this date and any costs associated? Additionally, I would appreciate it if you could include details about the facilities and any decorations that might be included or available for hire.

Thank you in advance for your assistance in making this celebration a memorable one.

Best regards,

Emily Turner  
[Your Contact Information]",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
7,1,"Subject: Re: Boat Hire Enquiry for Birthday Party on 15th April

Dear Emily Turner,

Thank you for reaching out to Boathire. We are delighted to assist in planning a memorable 40th birthday party for you.

Based on the details you've provided, we recommend chartering **The Aquaholic**, which can accommodate up to 60 people and will comfortably fit your guest list of 45. The event can be held from 7:00 PM to 11:00 PM on the 15th of April.

### Boat Information:
**The Aquaholic**
- **Capacity:** Up to 60 people
- **Charter Time:** 7:00 PM - 11:00 PM
- **Facilities:** The Aquaholic is equipped with a spacious deck, comfortable seating, a sound system for music, and an onboard bar. Additionally, restrooms are available on board.

### Catering:
We offer optional catering services. If you choose to add catering, we can provide a variety of menu options including canapés, buffets, and formal dining. We can also cater for dietary requirements with advance notice.

### Decorations:
We can work with you to decorate the boat according to your theme or preferences. Basic decorations, including balloons and banners, can be arranged, and we can discuss any specific requests you may have.

### Costs:
The cost for chartering The Aquaholic for your event will be provided once we have a bit more detail about any additional requests, such as catering and specific decorations. As a guideline, the base charter rate for The Aquaholic is £1500 for a 4-hour private event.

Please let us know if you have any specific preferences for catering, decorations, or any other special requirements. We are happy to tailor our services to meet your needs and ensure a fantastic celebration.

Feel free to contact us directly at [Your Contact Information] to discuss further details or to confirm your booking.

Thank you for choosing Boathire. We look forward to assisting you in making Emily's 40th birthday truly special.

Best regards,

James  
Boathire Team  
[Your Contact Information]",Send Offer,Send Offer / Uncatered / Pier Pressure
7,2,"Subject: Confirmation of Boat Hire Booking for 15th April

Dear James,

Thank you for your prompt and detailed response. I have reviewed the options and would like to confirm the booking of the boat **Pier Pressure** for the event.

Here are the finalized details:
- **Event:** 40th Birthday Party
- **Boat:** Pier Pressure
- **Number of Guests:** 45
- **Date:** 15th April
- **Time:** 7:00 PM to 11:00 PM

Additionally, I would like to discuss the catering and decoration options you mentioned. Could we schedule a call or meeting to go over the menu choices and decoration preferences?

Please let me know the next steps to finalize the booking, including any deposit requirements or further details you may need from me.

Thank you for your assistance.

Best regards,

Emily Turner  
[Your Contact Information]",Receive Booking,Receive Booking / Pier Pressure
8,0,"Subject: Boat Hire Inquiry for Private Event on 18th December

Dear Boathire Team,

I hope this message finds you well. I am looking to hire a boat for a private event I am organising, and I would like to inquire about the availability and details for the same.

The event is a 50th birthday celebration, and we anticipate having about 40 guests. We are planning to host it on the 18th of December, from 6 PM to 10 PM. Could you please provide me with information on the types of boats available for a group of this size, along with the rates and any additional services you might offer?

Looking forward to your response.

Best regards,
Edward Thompson",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
8,1,"Subject: Re: Boat Hire Inquiry for Private Event on 18th December

Dear Edward Thompson,

Thank you for reaching out to Boathire and considering us for your 50th birthday celebration event. We are delighted to assist you with your inquiry.

For a group of 40 guests, I would recommend our charter boat, **The Aquaholic**, which can comfortably accommodate up to 60 people. This boat would be ideal for your event. Here are some details:

**The Aquaholic:**
- Capacity: Up to 60 people
- Charter Duration: 6 PM to 10 PM (4 hours)
- Catering: Available upon request (please specify your preferences or dietary requirements)
- Additional Services: Entertainment options, decoration services, and a bar can be arranged

**Rates:**
- Boat Hire (Chartered without catering): £[Rate] per hour
- Catering: Pricing varies based on menu selection (starting from £[Rate] per person)

To proceed, please let us know if you would like to include catering and any specific requirements you might have for the event. Once we have these details, we can provide you with a detailed quote and further information on the booking process.

We look forward to helping you create a memorable celebration.

Best regards,

James
Boathire Team",Send Offer,Send Offer / Uncatered / Pier Pressure
8,2,"Subject: Confirmation of Boat Hire for 18th December

Dear James,

Thank you for the detailed information. I would like to confirm the booking of **The Pier Pressure** for our event on the 18th of December.

We prefer to proceed without catering for now, but we are interested in the bar and decoration services. Could you please provide us with more details on those options, including any additional costs involved?

Thank you for your assistance. We are looking forward to a wonderful celebration.

Best regards,  
Edward Thompson",Receive Booking,Receive Booking / Pier Pressure
9,0,"Subject: Boat Hire Inquiry for a Birthday Celebration on 15th November

Dear Boathire Team,

I hope this message finds you well. 

I am interested in hiring a boat for a special birthday celebration and would like to inquire about availability and pricing. The event is planned for 15th November 2023, and we are expecting around 40 guests.

The celebration would ideally start in the early evening, around 6:00 PM, and we would like to have the boat for approximately 4 hours. Could you please provide me with details about the boats available for this date, including pricing and any additional information we may need to know?

Thank you very much for your assistance. I look forward to your response.

Best regards,
James Anderson",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
9,1,"Subject: Re: Boat Hire Inquiry for a Birthday Celebration on 15th November

Dear Mr. Anderson,

Thank you for reaching out to Boathire. We are delighted to hear that you are considering us for your special birthday celebration.

For your event on the 15th of November 2023, with approximately 40 guests, we recommend our crewed charter boat, the Aquaholic, which can accommodate up to 60 people. Unfortunately, our other options, the Intrepid Explorer and the Harbor Harmony, would not be suitable due to their lower guest capacities.

Here are the details for the Aquaholic:

**Aquaholic:**
- Capacity: Up to 60 people
- Duration: 4 hours (starting at 6:00 PM)
- Catering: Available upon request (please specify any dietary requirements)
- Price: £1200 (boat hire only) + £25 per person for catering (if required)

Please let us know if you'd be interested in our catering service so we can provide you with a detailed menu.

To secure your booking, we require a 50% deposit upfront, with the balance payable one week before the event. Additionally, if you have any specific requirements or preferences for the celebration, do let us know so we can accommodate them.

Should you have any further questions or need additional information, please feel free to ask. 

Thank you once again for considering Boathire for your celebration. We look forward to helping you create a memorable event.

Best regards,

James
Boathire Team",Send Offer,Send Offer / Uncatered / Pier Pressure
9,2,"Subject: Confirming Booking for the Pier Pressure on 15th November

Dear Boathire Team,

Thank you for your prompt response and detailed information.

After considering the available options, I would like to confirm the booking for the Pier Pressure for our birthday celebration on 15th November 2023, starting at 6:00 PM for 4 hours.

Please advise on the next steps for securing the booking, including how to provide the deposit. Also, we are interested in your catering service. Kindly send us the menu options so we can make our selections.

Thank you for your assistance. Looking forward to hearing from you soon.

Best regards,
James Anderson",Receive Booking,Receive Booking / Pier Pressure
10,0,"Subject: Boat Hire Inquiry for Birthday Party - 17th November

Dear Boathire Team,

I hope this message finds you well. My name is James Thompson, and I am interested in hiring a boat for my upcoming birthday party. We are planning for a group of 40 guests.

Details of the event are as follows:
- Event: Birthday Party
- Date: 17th November
- Number of Guests: 40
- Time: 4:00 PM to 8:00 PM

Could you please provide information on the types of boats available for this size of group, as well as the rates and any additional services you may offer? Additionally, I would appreciate it if you could let me know the booking process and any other requirements that need to be fulfilled.

Thank you for your time, and I look forward to hearing from you soon.

Best regards,
James Thompson",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
10,1,"Subject: Re: Boat Hire Inquiry for Birthday Party - 17th November

Dear James Thompson,

Thank you for considering Boathire for your upcoming birthday party. We're delighted to assist you in planning your special event.

For a group of 40 guests, we have the following options available:

### Charter Boat Option
1. **The Aquaholic (up to 60 people)**
   - **Rates:** £1,200 for a 4-hour cruise
   - **Additional Services:** 
     - Catering options (customisable menus available)
     - Bar services
     - DJ or live music

2. **The Harbor Harmony (up to 30 people)**
   - Unfortunately, this boat will not accommodate your group size.

### Additional Information:
- **Catering:** We offer both simple and premium packages that feature a range of appetisers, main courses, desserts, and beverages. Please specify if you would like menus and pricing details.
- **Entertainment:** We can arrange for a DJ or live music for an additional fee.
- **Decorations:** Custom decoration services are available to suit your party theme.

### Booking Process:
1. **Availability Check:** We will confirm the availability of The Aquaholic for your specified date and time.
2. **Deposit:** A 30% deposit is required to secure your booking, with the remaining balance due 7 days before the event.
3. **Catering & Services Selection:** Once the boat availability is confirmed, we can discuss your exact requirements for catering, entertainment, and other services.
4. **Contract:** A contract will be provided outlining the terms and conditions of the booking.

### Requirements:
- **Guest List:** Please provide a guest list at least one week before the event for security and safety purposes.
- **Special Requests:** Let us know of any special requests or requirements in advance.

To proceed, please let us know if you would like to check the availability of The Aquaholic and discuss further details such as catering preferences and any additional services you might require.

Thank you for reaching out to us, and we look forward to making your birthday party a memorable event.

Best regards,

James  
Boathire Team",Send Offer,Send Offer / Uncatered / Pier Pressure
10,2,"Subject: Re: Boat Hire Inquiry for Birthday Party - 17th November

Dear James,

Thank you for your prompt response and detailed information regarding the boat hire options for my upcoming birthday party.

After careful consideration, I have decided not to proceed with the booking. I appreciate your assistance and the effort you put into helping me.

Thank you once again for your time and support.

Best regards,

James Thompson",Offer Rejected,Offer Rejected
11,0,"Subject: Enquiry About Boat Hire for Upcoming Celebration

Dear Boathire Team,

I hope this message finds you well. My name is David Johnson, and I am interested in hiring a boat for an upcoming celebration. We are planning a surprise 40th birthday party for my wife, Emma, and believe your service would offer the perfect setting for this special occasion.

We expect to have around 45 guests in attendance. The event is planned for Saturday, 15th April 2023, and we would need the boat from 6:00 PM until approximately 11:00 PM.

Could you please provide information on the availability of a suitable boat, as well as any relevant details concerning pricing, terms of hire, and any additional information we should be aware of for planning purposes?

Thank you for your assistance. I look forward to your response.

Best regards,

David Johnson",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
11,1,"Subject: Re: Enquiry About Boat Hire for Upcoming Celebration

Dear David,

Thank you for reaching out to Boathire and for considering us for your wife Emma's surprise 40th birthday party. We are delighted to assist you in planning this special occasion.

Given that you expect to have around 45 guests, we recommend our charter boat **The Aquaholic**, which can accommodate up to 60 people comfortably, making it an excellent choice for your event.

Here are the details for your consideration:

**Boat: The Aquaholic**
- **Capacity**: Up to 60 people
- **Availability**: Available on Saturday, 15th April 2023
- **Charter Time**: 6:00 PM - 11:00 PM (5 hours)

**Pricing Information**:
- **Boat Hire**: £800 for the 5-hour duration
- **Optional Catering**: We offer a range of catering packages; prices start at £25 per person.

**Terms of Hire**:
- A 50% deposit is required at the time of booking to secure your date.
- The remaining balance is due 14 days before the event.
- Our boats come with a fully trained crew to ensure your safety and enjoyment.

**Additional Services**:
- Decoration services are available upon request.
- We can also arrange for live entertainment or a DJ if desired.

Please let us know if you would like to proceed with the booking or if you have any specific preferences or additional requests. We would be happy to tailor our services to meet your needs and make Emma's birthday a memorable celebration.

Thank you once again for choosing Boathire. We look forward to assisting you further.

Best regards,

James  
Boathire Team  
[Contact Information]",Send Offer,Send Offer / Uncatered / Pier Pressure
11,2,"Subject: Re: Enquiry About Boat Hire for Upcoming Celebration

Dear James,

Thank you for your prompt response and for providing detailed information regarding The Aquaholic for Emma's 40th birthday party. I genuinely appreciate the effort you have put into outlining the options and services available.

After careful consideration, we have decided to explore other options for our event. While your offer is attractive, it unfortunately does not align with our current plans and requirements for the celebration.

Thank you once again for your assistance. We wish you and the Boathire Team continued success.

Best regards,

David Johnson",Offer Rejected,Offer Rejected
12,0,"Subject: Boat Hire Inquiry for Anniversary Celebration

Dear Boathire Team,

I hope this message finds you well. 

I am writing to inquire about hiring a boat for an upcoming event. I am planning an anniversary celebration for my parents and we are expecting around 40 guests. The event is scheduled for Saturday, 15th July 2023, and we would like to start around 4:00 PM and continue until approximately 10:00 PM.

Could you please provide information on the available boats that can accommodate our group size, along with pricing and any additional details we should be aware of?

Thank you very much for your assistance. I look forward to hearing from you soon.

Best regards,

James Mitchell  
Email: jamesmitchell@example.com  
Phone: 07000 123456",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
